,x,y,geometry,장소명
22,127.1093394975,37.2757089331,POINT (127.1093394975 37.2757089331),구갈1리 소공원 주변
28,127.106669629,37.2789736497,POINT (127.106669629 37.2789736497),기흥중학교 주변
31,127.1072761672,37.2741569772,POINT (127.1072761672 37.2741569772),신갈초등학교 주변
32,127.1067740581,37.2760520481,POINT (127.1067740581 37.2760520481),한신아파트 주변
33,127.1115249448,37.2885916612,POINT (127.1115249448 37.2885916612),새천년로16번길 주변
34,127.1095804558,37.2802122263,POINT (127.1095804558 37.2802122263),신갈중학교 주변
71,127.1069324,37.27216596,POINT (127.1069324 37.27216596),기흥노상
83,127.1068933454,37.2708642009,POINT (127.1068933454 37.2708642009),신갈 제1공영
84,127.1043196162,37.2706622301,POINT (127.1043196162 37.2706622301),신갈 제2공영
96,127.1067678384,37.2726060256,POINT (127.1067678384 37.2726060256),신갈동(기흥구보건소)
