,구,동,구분,단지명,세대수,사용검사일,도로명주소,nm,x,y
0,수지구,죽전동,임대,용인 죽전 경기행복주택,85,20220826,수지구,경기 용인시 수지구,127.097681729933,37.3221152975625
1,수지구,신봉동,분양,수지스카이뷰푸르지오,363,20220628,수지구 신봉3로7번길 31,경기 용인시 수지구 신봉동 1034,127.069530080233,37.3268168643055
2,수지구,신봉동,분양,힐스테이트 광교산,789,20220429,신봉동 신봉도시개발구역 7블럭,경기 용인시 수지구 신봉동 1025,127.0679618502262,37.33319176542239
3,수지구,동천동,분양,한화 포레나 수지동천,293,20220221,수지구 동천동 349-10번지 일원,경기 용인시 수지구 동천동 349-10,127.09347759458963,37.34003120193278
4,기흥구,언남동,분양,힐스테이트 구성,699,(20210731~20230730),기흥구 용인향교로 29,경기 용인시 기흥구 언남동 315,127.119286924919,37.2974293956629
5,기흥구,동백동,분양,신동백 두산위브더제니스,1187,20210630,기흥구 동백죽전대로 507,경기 용인시 기흥구 동백동 694,127.150608535392,37.2830246609485
6,수지구,죽전동,분양,죽전역 솔하임,234,20210309,수지구 정든로 5,경기 용인시 수지구 죽전동 1088-2,127.113540494502,37.3275054456876
7,수지구,상현동,분양,광교상현 솔하임,224,20210204,수지구 상현로 6,경기 용인시 수지구 상현동 1219,127.074650278871,37.3025115899845
8,수지구,성복동,분양,성복역 롯데캐슬 클라시엘(파크나인2차),1094,20210129,수지구 성복1로 35,경기 용인시 수지구 성복동 819,127.073779230336,37.3142264047401
9,수지구,죽전동,분양,까뮤이스테이트,193,20200831,수지구 용구대로 2793,경기 용인시 수지구 죽전동 1493,127.108437717828,37.33487391199
10,수지구,성복동,분양,성복역롯데캐슬파크나인1차,534,20200630,성복1로 13,경기 용인시 수지구 성복동 814,127.073791408878,37.3108741881584
11,수지구,동천동,분양,더샵 동천이스트포레,980,20200814,수지구 수풍로 89,경기 용인시 수지구 동천동 산 151-2,127.090813807316,37.3328305263887
12,수지구,상현동,분양,상현더샵파크사이드,479,2019.08.28,수지구 만현로67번길 20,경기 용인시 수지구 상현동 1214,127.088522841076,37.3082964964469
13,기흥구,영덕동,분양,기흥힉스유타워,230,2019.11.01,기흥구 중부대로 184,경기 용인시 기흥구 영덕동 1315,127.090689370086,37.2691613298833
14,기흥구,신갈동,분양,이안두드림,297,2019.9.10,기흥구 중부대로 376,경기 용인시 기흥구 신갈동 68-6,127.108875146108,37.2714574421973
15,처인구,남사면 아곡리,분양,e편한 세상 용인 파크카운티,75,20190628,처인구 남사면 한숲로33번길 36,경기 용인시 처인구 남사읍 아곡리 686,127.167109985309,37.1546270499204
16,수지구,동천동,분양,동천파크자이,388,20190730,수지구 동천로153번길 79,경기 용인시 수지구 동천동 930,127.090060938532,37.3321602839599
17,수지구,성복동,분양,성복역 롯데캐슬 골드타운,2356,20190630,수지구 성복2로 10,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
18,기흥구,보라동,분양,보라효성해링턴플레이스,970,20190529,기흥구 사은로84번길 10,경기 용인시 기흥구 보라동 660,127.113437206674,37.2540844951938
19,수지구,동천동,분양,동천자이2차,1057,20190530,수지구 고기로45번길 40-18,경기 용인시 수지구 동천동 164-4,127.094892462148,37.341437124213
20,기흥구,신갈동,분양,신흥덕 롯데캐슬레이시티,1597,20190429,기흥구 신정로 25,경기 용인시 기흥구 신갈동 736,127.101431429455,37.2730954778418
21,처인구,역북동,분양,역북신원아침도시,452,20190201,처인구 낙은로 11,경기 용인시 처인구 역북동 795,127.197317788422,37.2385704552006
22,처인구,김량장동,분양,용인 에스원 스마트빌,299,20140630,백옥대로 1104,경기 용인시 처인구 김량장동 63-9,127.209391465262,37.2341415411794
23,기흥구,영덕동,분양,기흥 효성해링턴플레이스,1679,20190329,기흥구 영덕대로2077번길 33,경기 용인시 기흥구 영덕동 1267,127.09648600251971,37.26486436672898
24,수지구,풍덕천동,분양,수지파크푸르지오,430,20190328,수지구 풍덕천로171번길 9,경기 용인시 수지구 풍덕천동 1223,127.099244427714,37.3268290106252
25,수지구,성복동,분양,성복역KCC스위첸,188,20190322,수지구 성복1로 62,경기 용인시 수지구 성복동 167,127.072942564189,37.3152131053821
26,처인구,김량장동,임대,용인김량장행복주택,70,20190201,처인구 금령로 40번길 15-5,경기 용인시 처인구 김량장동 338-7,127.201462243704,37.2335721387863
