,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,nm,x,y
750,환경부(한국자동차환경협회),구성동주민센터,01,DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 구성로77번길 17,24시간 이용가능,,급속(100kW단독),1시간무료,경기 용인시 기흥구 언남동 342-1,127.118981468612,37.2967640172842
751,환경부(한국자동차환경협회),구성동주민센터,02,DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 구성로77번길 17,24시간 이용가능,,급속(100kW단독),1시간무료,경기 용인시 기흥구 언남동 342-1,127.118981468612,37.2967640172842
1048,환경부(한국자동차환경협회),금학공영주차장,11,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 용문로 140,24시간 이용가능,,급속(200kW동시),,경기 용인시 처인구 김량장동 324-8,127.201254031099,37.2361304697761
1049,환경부(한국자동차환경협회),금학공영주차장,12,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 용문로 140,24시간 이용가능,,급속(200kW동시),,경기 용인시 처인구 김량장동 324-8,127.201254031099,37.2361304697761
1078,환경부(한국자동차환경협회),기흥휴게소(부산방향),01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 공세로 173 (공세동),24시간 이용가능,,급속(50kW),,경기 용인시 기흥구 공세동 260-1,127.104316216447,37.2363767227901
1079,환경부(한국자동차환경협회),기흥휴게소(부산방향),02,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 공세로 173 (공세동),24시간 이용가능,,급속(50kW),,경기 용인시 기흥구 공세동 260-1,127.104316216447,37.2363767227901
2031,환경부(한국자동차환경협회),롯데마트 수지점,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,"경기도 용인시 기흥구 진산로 116, 4층 31, 정비소 옆",10:00~23:00,,급속(50kW),,경기 용인시 수지구 성복동 789,127.08219164583834,37.31216163687883
2032,환경부(한국자동차환경협회),롯데마트 수지점,02,DC콤보,경기도 ,용인시 ,"경기도 용인시 기흥구 진산로 116, 4층 31, 정비소 옆",10:00~23:00,,급속(100kW동시),,경기 용인시 수지구 성복동 789,127.08219164583834,37.31216163687883
2033,환경부(한국자동차환경협회),롯데마트 수지점,52,DC콤보,경기도 ,용인시 ,"경기도 용인시 기흥구 진산로 116, 4층 31, 정비소 옆",10:00~23:00,,급속(100kW동시),,경기 용인시 수지구 성복동 789,127.08219164583834,37.31216163687883
2044,환경부(한국자동차환경협회),롯데마트 신갈점,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,"경기도 용인시 기흥구 중부대로 375, 지하2층 10",24시간 이용가능,,급속(50kW),,경기 용인시 기흥구 신갈동 63,127.10785938159,37.2719908869697
2045,환경부(한국자동차환경협회),롯데마트 신갈점,02,DC콤보,경기도 ,용인시 ,"경기도 용인시 기흥구 중부대로 375, 지하2층 10",24시간 이용가능,,급속(100kW동시),,경기 용인시 기흥구 신갈동 63,127.10785938159,37.2719908869697
2046,환경부(한국자동차환경협회),롯데마트 신갈점,52,DC콤보,경기도 ,용인시 ,"경기도 용인시 기흥구 중부대로 375, 지하2층 10",24시간 이용가능,,급속(100kW동시),,경기 용인시 기흥구 신갈동 63,127.10785938159,37.2719908869697
3543,환경부(한국자동차환경협회),송전휴게소,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 이동면 남북대로 2616(송전리 169-5),24시간 이용가능,,급속(50kW),,경기 용인시 처인구 이동읍 송전리 169-5,127.205628841667,37.1406052115283
4489,환경부(한국자동차환경협회),용인서부경찰서,01,DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 용구대로2469번길 32,24시간 이용가능,,급속(100kW단독),,경기 용인시 기흥구 보정동 1290,127.106125506775,37.3096181650731
4490,환경부(한국자동차환경협회),용인시민체육공원,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 동백죽전대로 61(28-6 용인미르스타디움),07:30~19:00,,급속(100kW동시),,경기 용인시 처인구 삼가동 28-6,127.165158040098,37.2496309738938
4491,환경부(한국자동차환경협회),용인시민체육공원,02,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 동백죽전대로 61(28-6 용인미르스타디움),07:30~19:00,,급속(100kW동시),,경기 용인시 처인구 삼가동 28-6,127.165158040098,37.2496309738938
4492,환경부(한국자동차환경협회),용인시민체육공원,11,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 동백죽전대로 61(28-6 용인미르스타디움),07:30~19:00,,급속(100kW동시),,경기 용인시 처인구 삼가동 28-6,127.165158040098,37.2496309738938
4493,환경부(한국자동차환경협회),용인시민체육공원,51,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 동백죽전대로 61(28-6 용인미르스타디움),07:30~19:00,,급속(100kW동시),,경기 용인시 처인구 삼가동 28-6,127.165158040098,37.2496309738938
4494,환경부(한국자동차환경협회),용인시민체육센터 제2주차장,41,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 포곡읍 금어로 317,24시간 이용가능,,급속(100kW단독),,경기 용인시 처인구 포곡읍 금어리 405-1,127.245792872178,37.2763828622895
4495,환경부(한국자동차환경협회),용인시민체육센터 제2주차장,42,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 포곡읍 금어로 317,24시간 이용가능,,급속(100kW단독),,경기 용인시 처인구 포곡읍 금어리 405-1,127.245792872178,37.2763828622895
4496,환경부(한국자동차환경협회),용인시민체육센터 제2주차장,43,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 포곡읍 금어로 317,24시간 이용가능,,급속(100kW단독),,경기 용인시 처인구 포곡읍 금어리 405-1,127.245792872178,37.2763828622895
4497,환경부(한국자동차환경협회),용인시민체육센터 제2주차장,44,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 포곡읍 금어로 317,24시간 이용가능,,급속(100kW단독),,경기 용인시 처인구 포곡읍 금어리 405-1,127.245792872178,37.2763828622895
4498,환경부(한국자동차환경협회),용인시청,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 삼가동 556 지하1층 가03 기둥옆,24시간 이용가능,,급속(50kW),주차요금 별도,경기 용인시 처인구 삼가동 556,127.177721812539,37.2410742217657
4499,환경부(한국자동차환경협회),용인휴게소(강릉방향),01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 주북로94번길 30-1 (고림동),24시간 이용가능,,급속(50kW),,경기 용인시 처인구 고림동 12-6,127.242327146043,37.2455211720791
4500,환경부(한국자동차환경협회),용인휴게소(강릉방향),02,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 주북로94번길 30-1 (고림동),24시간 이용가능,,급속(50kW),,경기 용인시 처인구 고림동 12-6,127.242327146043,37.2455211720791
