adng_nm,기존충전소,세대수,주차가능수,"주요건물수(영화관,대형점포,공원)"
구갈동,112,10839.0,546.0,19.0
구성동,145,12235.0,122.0,14.0
기흥동,204,6119.0,34.0,8.0
남사읍,77,6800.0,122.0,0.0
동백1동,69,9419.0,0.0,0.0
동백2동,132,6945.0,122.0,19.0
동백3동,275,7378.0,0.0,0.0
동부동,27,2132.0,518.0,0.0
동천동,189,13203.0,35.0,0.0
마북동,153,9505.0,210.0,0.0
모현읍,55,1500.0,165.0,0.0
백암면,10,228.0,131.0,0.0
보라동,129,9460.0,0.0,0.0
보정동,144,8522.0,230.0,0.0
상갈동,39,3567.0,259.0,0.0
상하동,56,7256.0,43.0,0.0
상현1동,275,14325.0,35.0,9.0
상현2동,100,10265.0,158.0,0.0
서농동,89,6838.0,31.0,0.0
성복동,311,16922.0,47.0,11.0
신갈동,139,11367.0,989.0,0.0
신봉동,250,12441.0,46.0,0.0
양지면,17,390.0,64.0,0.0
역삼동,120,9952.0,1526.0,25.0
영덕1동,92,8315.0,37.0,0.0
영덕2동,103,5155.0,0.0,0.0
원삼면,18,0.0,194.0,0.0
유림동,79,5757.0,193.0,0.0
이동읍,43,3235.0,60.0,0.0
죽전1동,159,16757.0,52.0,0.0
죽전2동,47,5592.0,483.0,0.0
중앙동,61,4380.0,1627.0,11.0
포곡읍,69,3399.0,192.0,0.0
풍덕천1동,42,9918.0,1046.0,0.0
풍덕천2동,80,12552.0,513.0,0.0
