,0,1,2,3,4,5
연령별,20대,30대,40대,50대,60대,합계
 포 곡 읍 ,4790.0,3919.0,5956.0,5966.0,3928.0,24559.0
 모 현 읍 ,3481.0,3072.0,4519.0,4761.0,3820.0,19653.0
 이 동 읍 ,2175.0,2354.0,3317.0,3715.0,3106.0,14667.0
 남 사 읍 ,1867.0,4102.0,4302.0,3059.0,3023.0,16353.0
 원 삼 면 ,724.0,719.0,1063.0,1576.0,1782.0,5864.0
 백 암 면 ,909.0,743.0,989.0,1557.0,1886.0,6084.0
 양 지 면 ,2490.0,2436.0,3123.0,3417.0,2814.0,14280.0
 중 앙 동 ,4414.0,3207.0,3865.0,4217.0,3172.0,18875.0
 역 삼 동 ,7163.0,7376.0,7748.0,6443.0,4039.0,32769.0
 유 림 동 ,4921.0,4481.0,6762.0,6251.0,3624.0,26039.0
 동 부 동 ,1836.0,1401.0,1946.0,2544.0,2109.0,9836.0
 신 갈 동 ,5044.0,6074.0,6551.0,6165.0,4152.0,27986.0
 영덕1동 ,3825.0,4539.0,5934.0,4931.0,2688.0,21917.0
 영덕2동 ,2467.0,3164.0,2723.0,2807.0,1785.0,12946.0
 구 갈 동 ,6625.0,7632.0,7092.0,6603.0,3742.0,31694.0
 상 갈 동 ,1956.0,1884.0,2342.0,2282.0,1351.0,9815.0
 보 라 동 ,4040.0,3753.0,6420.0,5301.0,3480.0,22994.0
 기 흥 동 ,2573.0,2781.0,3864.0,3538.0,2774.0,15530.0
 서 농 동 ,5244.0,4482.0,4488.0,3221.0,1943.0,19378.0
 구 성 동 ,4377.0,4075.0,7589.0,5953.0,4397.0,26391.0
 마 북 동 ,4088.0,3997.0,5335.0,5156.0,3805.0,22381.0
 동백1동 ,3604.0,3314.0,7788.0,4870.0,2213.0,21789.0
 동백2동 ,3247.0,2325.0,6157.0,4413.0,2090.0,18232.0
 동백3동 ,2213.0,3013.0,4949.0,2743.0,2064.0,14982.0
 상 하 동 ,3430.0,2755.0,4357.0,4515.0,2834.0,17891.0
 보 정 동 ,4197.0,4027.0,7258.0,5426.0,3539.0,24447.0
 풍 덕 천 1 동 ,5362.0,6228.0,5985.0,5447.0,3771.0,26793.0
 풍 덕 천 2 동 ,4943.0,6100.0,8845.0,5870.0,2530.0,28288.0
 신 봉 동 ,4084.0,3934.0,7853.0,5839.0,3512.0,25222.0
 죽 전 1 동 ,7969.0,6891.0,10647.0,8921.0,5365.0,39793.0
 죽 전 2 동 ,2758.0,3214.0,3011.0,2873.0,1827.0,13683.0
 동 천 동 ,5550.0,7725.0,9591.0,7182.0,4803.0,34851.0
 상 현 1 동 ,6307.0,6687.0,9323.0,7111.0,4209.0,33637.0
 상 현 2 동 ,3844.0,4118.0,6446.0,5150.0,3122.0,22680.0
 성 복 동 ,5810.0,6114.0,10552.0,8054.0,5717.0,36247.0
